"Date","Day/Eve","Number 1","Number 2","Number 3","GreenBall","DoubleDraw*"
"06/08/2019","D","1","7","5","",""
"06/07/2019","D","0","3","8","",""
"06/07/2019","E","7","9","8","",""
"06/06/2019","D","4","9","9","",""
"06/06/2019","E","4","3","3","",""
"06/05/2019","D","6","0","2","",""
"06/05/2019","E","2","2","6","",""
"06/04/2019","D","7","4","5","",""
"06/04/2019","E","1","7","2","",""
"06/03/2019","D","1","8","8","",""
"06/03/2019","E","0","3","3","",""
"06/02/2019","D","3","8","4","",""
"06/02/2019","E","2","5","1","",""
"06/01/2019","D","7","0","5","",""
"06/01/2019","E","1","2","6","",""
"05/31/2019","D","2","4","5","",""
"05/31/2019","E","4","1","7","",""
"05/30/2019","D","1","1","8","",""
"05/30/2019","E","7","9","8","",""
"05/29/2019","D","5","8","5","",""
"05/29/2019","E","9","2","7","",""
"05/28/2019","D","1","8","1","",""
"05/28/2019","E","9","7","4","",""
"05/27/2019","D","8","3","9","",""
"05/27/2019","E","4","0","3","",""
"05/26/2019","D","5","5","4","",""
"05/26/2019","E","8","7","6","",""
"05/25/2019","D","0","2","2","",""
"05/25/2019","E","6","6","5","",""
"05/24/2019","D","9","6","4","",""
"05/24/2019","E","5","1","4","",""
"05/23/2019","D","7","9","3","",""
"05/23/2019","E","2","9","2","",""
"05/22/2019","D","6","5","7","",""
"05/22/2019","E","0","0","1","",""
"05/21/2019","D","1","3","5","",""
"05/21/2019","E","0","0","9","",""
"05/20/2019","D","0","0","4","",""
"05/20/2019","E","5","0","3","",""
"05/19/2019","D","4","3","6","",""
"05/19/2019","E","7","7","8","",""
"05/18/2019","D","5","0","3","",""
"05/18/2019","E","0","7","6","",""
"05/17/2019","D","8","9","1","",""
"05/17/2019","E","0","1","0","",""
"05/16/2019","D","6","9","5","",""
"05/16/2019","E","9","4","5","",""
"05/15/2019","D","9","3","0","",""
"05/15/2019","E","9","1","6","",""
"05/14/2019","D","3","9","2","",""
"05/14/2019","E","8","2","5","",""
"05/13/2019","D","6","1","6","",""
"05/13/2019","E","1","9","5","",""
"05/12/2019","D","6","7","5","",""
"05/12/2019","E","1","1","7","",""
"05/11/2019","D","6","7","3","",""
"05/11/2019","E","3","2","7","",""
"05/10/2019","D","9","1","3","",""
"05/10/2019","E","0","0","6","",""
"05/09/2019","D","7","7","7","",""
"05/09/2019","E","6","8","4","",""
"05/08/2019","D","1","6","0","",""
"05/08/2019","E","9","4","4","",""
"05/07/2019","D","7","3","3","",""
"05/07/2019","E","6","4","5","",""
"05/06/2019","D","0","6","7","",""
"05/06/2019","E","4","7","3","",""
"05/05/2019","D","9","0","8","",""
"05/05/2019","E","9","2","3","",""
"05/04/2019","D","3","2","0","",""
"05/04/2019","E","3","6","9","",""
"05/03/2019","D","0","1","1","",""
"05/03/2019","E","3","7","6","",""
"05/02/2019","D","2","7","5","",""
"05/02/2019","E","4","1","3","",""
"05/01/2019","D","0","5","6","",""
"05/01/2019","E","0","1","5","",""
"04/30/2019","D","5","9","1","",""
"04/30/2019","E","7","1","7","",""
"04/29/2019","D","3","5","8","",""
"04/29/2019","E","3","1","9","",""
"04/28/2019","D","0","6","3","",""
"04/28/2019","E","4","6","2","",""
"04/27/2019","D","5","8","6","",""
"04/27/2019","E","1","4","6","",""
"04/26/2019","D","1","1","1","",""
"04/26/2019","E","0","7","5","",""
"04/25/2019","D","7","0","5","",""
"04/25/2019","E","1","0","8","",""
"04/24/2019","D","1","5","8","",""
"04/24/2019","E","0","9","1","",""
"04/23/2019","D","8","2","5","",""
"04/23/2019","E","0","6","1","",""
"04/22/2019","D","8","9","3","",""
"04/22/2019","E","9","8","5","",""
"04/21/2019","D","1","8","3","",""
"04/21/2019","E","3","8","3","",""
"04/20/2019","D","3","2","2","",""
"04/20/2019","E","0","9","6","",""
"04/19/2019","D","6","3","9","",""
"04/19/2019","E","9","9","6","",""
"04/18/2019","D","3","3","9","",""
"04/18/2019","E","1","3","2","",""
"04/17/2019","D","2","7","0","",""
"04/17/2019","E","1","1","0","",""
"04/16/2019","D","0","4","2","",""
"04/16/2019","E","0","3","3","",""
"04/15/2019","D","8","1","2","",""
"04/15/2019","E","7","3","7","",""
"04/14/2019","D","8","9","5","",""
"04/14/2019","E","3","6","4","",""
"04/13/2019","D","6","0","9","",""
"04/13/2019","E","5","0","2","",""
"04/12/2019","D","9","4","4","",""
"04/12/2019","E","4","2","4","",""
"04/11/2019","D","0","5","8","",""
"04/11/2019","E","7","0","0","",""
"04/10/2019","D","1","7","2","",""
"04/10/2019","E","9","2","1","",""
"04/09/2019","D","7","9","2","",""
"04/09/2019","E","1","2","4","",""
"04/08/2019","D","1","6","2","",""
"04/08/2019","E","7","1","0","",""
"04/07/2019","D","9","4","4","",""
"04/07/2019","E","1","3","9","",""
